지역코드,도로명,법정동,지번,아파트,건축년도,층,전용면적,년,월,일,거래금액
41117,동수원로,매탄동,810-1,현대,1989,1,84.94,2020,1,29,310000000
41117,매탄로126번길,매탄동,1260,주공그린빌2,2002,6,84.45,2020,1,29,362000000
41117,동수원로,매탄동,1162,임광,1990,3,73.91,2020,1,29,290000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,14,59.99,2020,1,29,240000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,2,49.95,2020,1,29,169000000
41117,동탄원천로1109번길,매탄동,1199,원천성일,1992,2,49.94,2020,1,29,290000000
41117,매영로,매탄동,810,삼성2,1989,4,74.4,2020,1,29,280000000
41117,인계로,매탄동,810-3,삼성1,1988,11,67.13,2020,1,29,283000000
41117,인계로189번길,매탄동,897,매탄주공4,1985,2,53.85,2020,1,30,695000000
41117,매봉로,매탄동,1209,e-편한세상,2010,22,84.8286,2020,1,30,630000000
41117,매탄로126번길,매탄동,1260,주공그린빌2,2002,8,84.45,2020,1,30,390000000
41117,매영로,매탄동,1230,매탄레이크파크아파트,1999,2,49.95,2020,1,30,180000000
41117,매봉로27번길,매탄동,50,극동,1998,3,59.93,2020,1,31,259000000
41117,매여울로53번길,매탄동,194-4,재왕아트빌,2003,7,47.3257,2020,1,31,140000000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,4,59.9845,2020,1,31,460000000
41117,효원로,매탄동,1352,매탄위브하늘채,2008,21,72.9079,2020,1,31,557000000
41117,동수원로514번길,매탄동,110-14,희성연인,2006,2,69.269,2020,1,31,240000000
41117,권광로260번길,매탄동,176,현대힐스테이트,2006,12,127.908,2020,1,31,650000000
41117,동수원로,매탄동,810-2,동남,1989,3,49.68,2020,1,31,200000000
41117,인계로,매탄동,810-3,삼성1,1988,3,55.16,2020,1,31,210000000
41117,동탄원천로1109번길,매탄동,1199,원천성일,1992,4,44.2,2020,1,31,247000000
41117,동탄원천로1109번길,매탄동,1199,원천성일,1992,7,44.2,2020,1,31,242000000
41117,동수원로,매탄동,810-1,현대,1989,4,84.94,2020,1,31,355000000
41117,동수원로,매탄동,810-1,현대,1989,7,84.94,2020,1,31,358000000
41117,삼성로268번길,원천동,333-3,삼성1,1992,15,49.14,2020,1,2,138500000
